epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1052.87,0.58977,0.33818,0.89634,0.99943,1,0.995,0.87119,0.54025,0.30171,0.90388,0.005743,0.005743,0.005743
45,1077.12,0.58223,0.33389,0.89859,0.99939,1,0.995,0.87504,0.52301,0.29413,0.88316,0.005644,0.005644,0.005644
46,1101.68,0.5787,0.33205,0.8973,0.99863,1,0.995,0.87572,0.52353,0.29096,0.88375,0.005545,0.005545,0.005545
47,1126.06,0.57008,0.32177,0.90548,0.9991,0.99745,0.995,0.86263,0.55198,0.29938,0.89782,0.005446,0.005446,0.005446
48,1151.01,0.56584,0.31992,0.89381,1,0.99923,0.995,0.87587,0.51927,0.2926,0.88546,0.005347,0.005347,0.005347
49,1175.01,0.57218,0.32031,0.89525,0.994,1,0.995,0.87991,0.49264,0.29814,0.87058,0.005248,0.005248,0.005248
50,1198.76,0.56418,0.32038,0.89622,0.99687,0.99745,0.99497,0.87962,0.50323,0.28043,0.89316,0.005149,0.005149,0.005149
51,1222.65,0.55261,0.31189,0.89381,0.99745,0.99944,0.995,0.87907,0.50248,0.28332,0.87888,0.00505,0.00505,0.00505
52,1246.92,0.56456,0.31737,0.89567,0.99456,1,0.99497,0.88165,0.50776,0.29741,0.88098,0.004951,0.004951,0.004951
53,1271.29,0.57066,0.31769,0.88604,0.99705,1,0.995,0.88235,0.4918,0.28012,0.87774,0.004852,0.004852,0.004852
54,1295.62,0.56081,0.31431,0.88543,0.99669,1,0.99497,0.88409,0.48667,0.26551,0.87501,0.004753,0.004753,0.004753
55,1319.53,0.55957,0.30775,0.89416,0.99858,1,0.995,0.88365,0.48146,0.26496,0.8727,0.004654,0.004654,0.004654
56,1343.78,0.55837,0.30411,0.89395,0.99444,1,0.99497,0.87967,0.50473,0.26804,0.88253,0.004555,0.004555,0.004555
57,1368.45,0.55648,0.30625,0.88949,0.99206,1,0.99495,0.88525,0.50873,0.28871,0.89039,0.004456,0.004456,0.004456
58,1393.16,0.54773,0.30304,0.88834,0.99444,0.99745,0.99497,0.88315,0.51473,0.28,0.89055,0.004357,0.004357,0.004357
59,1417.64,0.55943,0.30762,0.88972,0.9946,1,0.995,0.87924,0.50415,0.26778,0.88324,0.004258,0.004258,0.004258
60,1442.16,0.55295,0.3039,0.89148,0.99624,0.99745,0.99497,0.86589,0.5201,0.29165,0.88568,0.004159,0.004159,0.004159
61,1468.21,0.54942,0.3023,0.88778,0.9998,1,0.995,0.88379,0.49717,0.27964,0.87666,0.00406,0.00406,0.00406
62,1496.52,0.54714,0.29846,0.88833,0.99982,1,0.995,0.88653,0.50644,0.27538,0.87806,0.003961,0.003961,0.003961
63,1521.36,0.52751,0.29357,0.87974,0.99492,0.99847,0.995,0.88189,0.49937,0.27142,0.87995,0.003862,0.003862,0.003862
64,1545.69,0.52763,0.28843,0.88263,0.99908,1,0.995,0.88422,0.49571,0.25732,0.87152,0.003763,0.003763,0.003763
65,1569.9,0.53893,0.2934,0.89113,0.99962,1,0.995,0.88441,0.50479,0.26346,0.87256,0.003664,0.003664,0.003664
66,1592.93,0.5279,0.291,0.88328,0.99621,1,0.99497,0.89304,0.48374,0.26152,0.86562,0.003565,0.003565,0.003565
67,1615.56,0.53395,0.29012,0.88306,0.99669,1,0.995,0.89009,0.48516,0.25467,0.86407,0.003466,0.003466,0.003466
68,1638.03,0.54303,0.28663,0.88892,0.99978,1,0.995,0.88305,0.49114,0.25727,0.87221,0.003367,0.003367,0.003367
69,1660.95,0.52136,0.27869,0.88063,0.99967,1,0.995,0.88796,0.49004,0.25261,0.86925,0.003268,0.003268,0.003268
70,1683.48,0.52927,0.2823,0.88492,1,0.99989,0.995,0.88326,0.48979,0.25457,0.8684,0.003169,0.003169,0.003169
71,1706.02,0.52491,0.28,0.8745,0.99197,1,0.99497,0.87674,0.50441,0.25521,0.87692,0.00307,0.00307,0.00307
72,1728.62,0.5139,0.27916,0.86631,0.9947,1,0.99393,0.88391,0.47913,0.26243,0.858,0.002971,0.002971,0.002971
73,1751.12,0.51669,0.27403,0.86941,1,0.99738,0.995,0.88606,0.4848,0.24758,0.8582,0.002872,0.002872,0.002872
74,1773.73,0.50773,0.27902,0.86784,0.99908,1,0.995,0.8878,0.49155,0.2579,0.86498,0.002773,0.002773,0.002773
75,1796.63,0.51686,0.27828,0.87109,1,0.99711,0.995,0.88084,0.47629,0.24831,0.86045,0.002674,0.002674,0.002674
76,1819,0.50448,0.26862,0.87045,0.99987,1,0.995,0.88482,0.49325,0.24876,0.86185,0.002575,0.002575,0.002575
77,1841.29,0.50384,0.26812,0.87353,0.99974,1,0.995,0.89462,0.48249,0.24667,0.85866,0.002476,0.002476,0.002476
78,1864.38,0.50692,0.26563,0.87556,0.99968,1,0.995,0.89377,0.46282,0.24014,0.84922,0.002377,0.002377,0.002377
79,1886.88,0.48977,0.25914,0.86189,0.99971,1,0.995,0.89314,0.47988,0.23851,0.86463,0.002278,0.002278,0.002278
80,1909.48,0.49206,0.25976,0.86893,1,0.99981,0.995,0.89187,0.47279,0.23606,0.8577,0.002179,0.002179,0.002179
81,1932.41,0.48816,0.25437,0.86842,0.99985,1,0.995,0.88959,0.47295,0.23758,0.85917,0.00208,0.00208,0.00208
82,1954.77,0.48128,0.25336,0.86886,0.99979,1,0.995,0.89128,0.47789,0.23705,0.85719,0.001981,0.001981,0.001981
83,1977.04,0.49358,0.2543,0.86311,0.99983,1,0.995,0.90226,0.45688,0.22899,0.84949,0.001882,0.001882,0.001882
84,2000.06,0.4877,0.25223,0.86607,0.99982,1,0.995,0.89609,0.46126,0.24069,0.8485,0.001783,0.001783,0.001783
85,2022.38,0.48947,0.25269,0.86402,0.99976,1,0.995,0.89285,0.46194,0.23695,0.85019,0.001684,0.001684,0.001684
86,2045.18,0.4988,0.25346,0.86134,0.99976,1,0.995,0.89111,0.46927,0.23862,0.8541,0.001585,0.001585,0.001585
87,2068.57,0.47702,0.24695,0.86436,0.9998,1,0.995,0.89382,0.46422,0.23989,0.85422,0.001486,0.001486,0.001486
88,2090.98,0.48927,0.24879,0.86762,0.99985,1,0.995,0.8917,0.46725,0.22763,0.85899,0.001387,0.001387,0.001387
89,2113.77,0.48312,0.24575,0.86172,0.99985,1,0.995,0.89593,0.46002,0.22463,0.85897,0.001288,0.001288,0.001288
90,2136.46,0.47618,0.23854,0.86072,0.99985,1,0.995,0.89408,0.47236,0.23866,0.85919,0.001189,0.001189,0.001189
91,2181.4,0.40904,0.21746,0.82498,1,0.99906,0.995,0.88877,0.47207,0.23054,0.86056,0.00109,0.00109,0.00109
92,2204.44,0.39956,0.21455,0.82147,0.99492,0.99976,0.99053,0.8857,0.46308,0.22812,0.85791,0.000991,0.000991,0.000991
93,2227.7,0.39986,0.21183,0.82271,0.99961,0.99745,0.995,0.88514,0.46631,0.22636,0.85489,0.000892,0.000892,0.000892
94,2251.29,0.40315,0.2032,0.82771,0.994,1,0.99495,0.89316,0.46412,0.22037,0.85771,0.000793,0.000793,0.000793
95,2275.25,0.40385,0.20621,0.81519,0.99458,1,0.99495,0.89279,0.46271,0.22223,0.85626,0.000694,0.000694,0.000694
96,2299.21,0.3941,0.20259,0.82259,0.99477,1,0.99495,0.88892,0.46379,0.21681,0.85761,0.000595,0.000595,0.000595
97,2323.23,0.3886,0.20379,0.82651,0.99476,1,0.995,0.89449,0.46418,0.221,0.85948,0.000496,0.000496,0.000496
98,2347.06,0.3931,0.20036,0.81994,0.99476,1,0.99495,0.89207,0.46815,0.21787,0.85734,0.000397,0.000397,0.000397
99,2371.12,0.38971,0.19507,0.82549,0.99477,1,0.99495,0.89553,0.45467,0.21685,0.85304,0.000298,0.000298,0.000298
100,2394.86,0.38653,0.19678,0.82175,0.99475,1,0.99317,0.89447,0.45831,0.21438,0.85226,0.000199,0.000199,0.000199
