epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2134.31,0.6036,0.35355,0.91729,0.98837,0.99235,0.99485,0.86502,0.55732,0.28827,0.91891,0.0014588,0.0014588,0.0014588
43,2183.89,0.59909,0.35217,0.91868,0.98357,0.98724,0.99404,0.85873,0.55701,0.29618,0.92312,0.0014456,0.0014456,0.0014456
44,2233.66,0.6294,0.36943,0.91957,0.98612,0.98724,0.99459,0.86554,0.55163,0.30048,0.91854,0.0014324,0.0014324,0.0014324
45,2283.08,0.60704,0.35784,0.90825,0.99459,0.98214,0.9946,0.8543,0.59013,0.30512,0.90859,0.0014192,0.0014192,0.0014192
46,2332.61,0.59426,0.34056,0.9095,0.97927,0.99235,0.99441,0.86977,0.54997,0.29614,0.91109,0.001406,0.001406,0.001406
47,2382.03,0.60568,0.35167,0.92049,0.96987,0.98469,0.99346,0.85627,0.57686,0.3146,0.94244,0.0013928,0.0013928,0.0013928
48,2431.86,0.61382,0.35741,0.91846,0.98202,0.98724,0.99412,0.8572,0.56584,0.31953,0.92398,0.0013796,0.0013796,0.0013796
49,2481.07,0.58971,0.341,0.91404,0.98916,0.98724,0.99413,0.83648,0.64391,0.36455,0.99227,0.0013664,0.0013664,0.0013664
50,2530.86,0.61243,0.36177,0.9158,0.994,0.9898,0.9948,0.86804,0.55121,0.2952,0.91929,0.0013532,0.0013532,0.0013532
51,2580.37,0.6006,0.34832,0.91637,0.99644,0.99745,0.99495,0.8641,0.56348,0.29962,0.9265,0.00134,0.00134,0.00134
52,2629.98,0.57808,0.33105,0.90313,0.9873,0.99122,0.99435,0.87016,0.55493,0.27885,0.91313,0.0013268,0.0013268,0.0013268
53,2678.92,0.5918,0.34528,0.91093,0.9795,0.9949,0.99459,0.87253,0.55683,0.28667,0.91653,0.0013136,0.0013136,0.0013136
54,2728.98,0.59626,0.33499,0.91122,0.98728,0.98992,0.99482,0.87172,0.53947,0.2752,0.89797,0.0013004,0.0013004,0.0013004
55,2778.12,0.60915,0.34388,0.91713,0.99414,0.98724,0.9947,0.87013,0.54076,0.2802,0.91629,0.0012872,0.0012872,0.0012872
56,2827.3,0.5782,0.33226,0.90074,0.98667,0.99235,0.99467,0.86125,0.57113,0.29638,0.90945,0.001274,0.001274,0.001274
57,2876.28,0.58962,0.33543,0.90511,0.99446,0.99235,0.99471,0.85529,0.5763,0.27944,0.9112,0.0012608,0.0012608,0.0012608
58,2925.64,0.58269,0.33068,0.89911,0.99232,0.98895,0.99485,0.86748,0.55392,0.28003,0.9058,0.0012476,0.0012476,0.0012476
59,2974.66,0.5893,0.34225,0.90554,0.98706,1,0.9949,0.86643,0.55862,0.30039,0.92554,0.0012344,0.0012344,0.0012344
60,3023.98,0.59234,0.33846,0.90874,0.9923,0.98688,0.99472,0.87627,0.52127,0.28071,0.8969,0.0012212,0.0012212,0.0012212
61,3073.3,0.57696,0.31962,0.90497,0.9949,0.99505,0.99497,0.86254,0.5502,0.27558,0.89991,0.001208,0.001208,0.001208
62,3122.54,0.58678,0.33115,0.90773,0.97719,0.9835,0.99058,0.85497,0.54243,0.28368,0.91364,0.0011948,0.0011948,0.0011948
63,3171.59,0.55665,0.30656,0.89934,0.97998,0.99895,0.99441,0.87474,0.53908,0.27884,0.9053,0.0011816,0.0011816,0.0011816
64,3220.86,0.58669,0.32603,0.90579,0.99316,0.99235,0.99492,0.87771,0.52989,0.27072,0.89181,0.0011684,0.0011684,0.0011684
65,3269.98,0.5831,0.32625,0.9076,0.98452,1,0.99487,0.87373,0.53353,0.2638,0.90319,0.0011552,0.0011552,0.0011552
66,3319.11,0.568,0.32345,0.90257,0.97988,0.99393,0.99292,0.87052,0.53302,0.28639,0.90008,0.001142,0.001142,0.001142
67,3368.51,0.5559,0.31373,0.89933,0.98129,0.9949,0.99218,0.87299,0.52491,0.26358,0.89222,0.0011288,0.0011288,0.0011288
68,3417.44,0.57434,0.32039,0.8993,0.99573,0.99235,0.99495,0.87963,0.52586,0.27782,0.8998,0.0011156,0.0011156,0.0011156
69,3469.16,0.5668,0.32825,0.89851,0.97986,0.99304,0.99013,0.86884,0.52936,0.27477,0.90051,0.0011024,0.0011024,0.0011024
70,3518.77,0.5661,0.31925,0.90178,0.9951,0.98214,0.9948,0.87178,0.52971,0.27033,0.88643,0.0010892,0.0010892,0.0010892
71,3568,0.55294,0.31181,0.8982,0.99233,0.99024,0.99492,0.87684,0.52321,0.27416,0.89008,0.001076,0.001076,0.001076
72,3617.3,0.56285,0.30807,0.90039,0.99487,0.98866,0.99492,0.8689,0.53732,0.28407,0.90397,0.0010628,0.0010628,0.0010628
73,3666.98,0.55844,0.30968,0.89741,0.97505,0.99687,0.99168,0.87116,0.52488,0.27309,0.89368,0.0010496,0.0010496,0.0010496
74,3716.47,0.58019,0.31625,0.90725,0.97497,0.99373,0.99162,0.85299,0.55501,0.28147,0.90394,0.0010364,0.0010364,0.0010364
75,3766,0.55451,0.31279,0.89357,0.98968,0.9898,0.99431,0.87539,0.51305,0.27845,0.89892,0.0010232,0.0010232,0.0010232
76,3815,0.55765,0.31205,0.90745,0.99085,0.9949,0.9949,0.87891,0.52059,0.27309,0.90837,0.00101,0.00101,0.00101
77,3864,0.55281,0.30871,0.90013,0.9874,0.99954,0.99495,0.87969,0.50862,0.24988,0.88893,0.0009968,0.0009968,0.0009968
78,3913.71,0.54815,0.31058,0.89394,0.98234,0.99328,0.99223,0.86825,0.52037,0.27083,0.88924,0.0009836,0.0009836,0.0009836
79,3962.84,0.55835,0.30896,0.89603,0.97718,0.99745,0.99427,0.87764,0.52268,0.25462,0.89341,0.0009704,0.0009704,0.0009704
80,4012.08,0.5443,0.29842,0.88678,0.98951,0.99235,0.99487,0.87782,0.51837,0.26271,0.89376,0.0009572,0.0009572,0.0009572
81,4061.12,0.55093,0.30507,0.89462,0.98693,0.99235,0.9949,0.87665,0.51113,0.27184,0.88031,0.000944,0.000944,0.000944
82,4110.84,0.54142,0.29585,0.89531,0.98553,0.9949,0.99432,0.87955,0.50867,0.25393,0.88342,0.0009308,0.0009308,0.0009308
83,4160.53,0.54045,0.29846,0.89243,0.99236,0.9935,0.99497,0.87622,0.5123,0.25707,0.88889,0.0009176,0.0009176,0.0009176
84,4209.34,0.53947,0.29179,0.89029,0.9849,0.99839,0.99482,0.88163,0.51307,0.24731,0.8817,0.0009044,0.0009044,0.0009044
85,4259.07,0.53517,0.2942,0.89532,0.98244,0.99925,0.99451,0.88359,0.49764,0.26871,0.87337,0.0008912,0.0008912,0.0008912
86,4308.9,0.53384,0.28948,0.88569,0.98242,0.99799,0.99477,0.87941,0.50682,0.2463,0.88142,0.000878,0.000878,0.000878
87,4358.36,0.52599,0.29384,0.88576,0.97625,0.9949,0.99222,0.86464,0.53452,0.27076,0.88708,0.0008648,0.0008648,0.0008648
88,4407.31,0.52983,0.29386,0.88323,0.94844,1,0.95826,0.83298,0.50114,0.29895,0.86729,0.0008516,0.0008516,0.0008516
89,4456.73,0.54456,0.30272,0.8994,0.98732,0.99296,0.9949,0.87965,0.51605,0.25255,0.88529,0.0008384,0.0008384,0.0008384
